match_id,date,home_team,away_team,status,actual_home_goals,actual_away_goals,actual_result_type,actual_first_goalscorer,actual_total_corners,actual_first_half_corners,actual_second_half_corners,source,last_updated
wc2026_r001,2026-06-11,Mexico,South Africa,FT,2.0,0.0,home_win,,,,,manual_user_input,2026-06-12T00:26:38+00:00
wc2026_r002,2026-06-11,South Korea,Czechia,scheduled,,,,,,,,,
wc2026_r003,2026-06-18,Czechia,South Africa,scheduled,,,,,,,,,
wc2026_r004,2026-06-18,Mexico,South Korea,scheduled,,,,,,,,,
wc2026_r005,2026-06-24,Czechia,Mexico,scheduled,,,,,,,,,
wc2026_r006,2026-06-24,South Africa,South Korea,scheduled,,,,,,,,,
wc2026_r007,2026-06-12,Canada,Bosnia and Herzegovina,scheduled,,,,,,,,,
wc2026_r008,2026-06-13,Qatar,Switzerland,scheduled,,,,,,,,,
wc2026_r009,2026-06-18,Switzerland,Bosnia and Herzegovina,scheduled,,,,,,,,,
wc2026_r010,2026-06-18,Canada,Qatar,scheduled,,,,,,,,,
wc2026_r011,2026-06-24,Switzerland,Canada,scheduled,,,,,,,,,
wc2026_r012,2026-06-24,Bosnia and Herzegovina,Qatar,scheduled,,,,,,,,,
wc2026_r013,2026-06-13,Brazil,Morocco,scheduled,,,,,,,,,
wc2026_r014,2026-06-13,Haiti,Scotland,scheduled,,,,,,,,,
wc2026_r015,2026-06-19,Scotland,Morocco,scheduled,,,,,,,,,
wc2026_r016,2026-06-19,Brazil,Haiti,scheduled,,,,,,,,,
wc2026_r017,2026-06-24,Scotland,Brazil,scheduled,,,,,,,,,
wc2026_r018,2026-06-24,Morocco,Haiti,scheduled,,,,,,,,,
wc2026_r019,2026-06-12,United States,Paraguay,scheduled,,,,,,,,,
wc2026_r020,2026-06-13,Australia,Turkey,scheduled,,,,,,,,,
wc2026_r021,2026-06-19,United States,Australia,scheduled,,,,,,,,,
wc2026_r022,2026-06-19,Turkey,Paraguay,scheduled,,,,,,,,,
wc2026_r023,2026-06-25,Turkey,United States,scheduled,,,,,,,,,
wc2026_r024,2026-06-25,Paraguay,Australia,scheduled,,,,,,,,,
wc2026_r025,2026-06-14,Germany,Curaçao,scheduled,,,,,,,,,
wc2026_r026,2026-06-14,Ivory Coast,Ecuador,scheduled,,,,,,,,,
wc2026_r027,2026-06-20,Germany,Ivory Coast,scheduled,,,,,,,,,
wc2026_r028,2026-06-20,Ecuador,Curaçao,scheduled,,,,,,,,,
wc2026_r029,2026-06-25,Curaçao,Ivory Coast,scheduled,,,,,,,,,
wc2026_r030,2026-06-25,Ecuador,Germany,scheduled,,,,,,,,,
wc2026_r031,2026-06-14,Netherlands,Japan,scheduled,,,,,,,,,
