season,fixture_id,date_utc,timestamp,round,venue_name,venue_city,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,home_winner,away_winner,status
2022,855736,2022-11-20T16:00:00+00:00,1668960000,Group Stage - 1,Al Bayt Stadium,Al Khor,1569,Qatar,2382,Ecuador,0,2,False,True,FT
2022,855735,2022-11-21T13:00:00+00:00,1669035600,Group Stage - 1,Khalifa International Stadium,Ar-Rayyan,10,England,22,Iran,6,2,True,False,FT
2022,855734,2022-11-21T16:00:00+00:00,1669046400,Group Stage - 1,Al Thumama Stadium,Doha,13,Senegal,1118,Netherlands,0,2,False,True,FT
2022,866681,2022-11-21T19:00:00+00:00,1669057200,Group Stage - 1,Ahmad bin Ali Stadium,Al-Rayyan,2384,USA,767,Wales,1,1,,,FT
2022,855737,2022-11-22T10:00:00+00:00,1669111200,Group Stage - 1,Lusail Iconic Stadium,Lusail,26,Argentina,23,Saudi Arabia,1,2,False,True,FT
2022,855738,2022-11-22T13:00:00+00:00,1669122000,Group Stage - 1,Education City Stadium,Ar-Rayyan,21,Denmark,28,Tunisia,0,0,,,FT
2022,855739,2022-11-22T16:00:00+00:00,1669132800,Group Stage - 1,Stadium 974,Doha,16,Mexico,24,Poland,0,0,,,FT
2022,871850,2022-11-22T19:00:00+00:00,1669143600,Group Stage - 1,Al Janoub Stadium,Al Wakrah,2,France,20,Australia,4,1,True,False,FT
2022,855740,2022-11-23T10:00:00+00:00,1669197600,Group Stage - 1,Al Bayt Stadium,Al Khor,31,Morocco,3,Croatia,0,0,,,FT
2022,855741,2022-11-23T13:00:00+00:00,1669208400,Group Stage - 1,Khalifa International Stadium,Ar-Rayyan,25,Germany,12,Japan,1,2,False,True,FT
2022,871851,2022-11-23T16:00:00+00:00,1669219200,Group Stage - 1,Al Thumama Stadium,Doha,9,Spain,29,Costa Rica,7,0,True,False,FT
2022,855742,2022-11-23T19:00:00+00:00,1669230000,Group Stage - 1,Ahmad bin Ali Stadium,Al-Rayyan,1,Belgium,5529,Canada,1,0,True,False,FT
2022,855743,2022-11-24T10:00:00+00:00,1669284000,Group Stage - 1,Al Janoub Stadium,Al Wakrah,15,Switzerland,1530,Cameroon,1,0,True,False,FT
2022,855744,2022-11-24T13:00:00+00:00,1669294800,Group Stage - 1,Education City Stadium,Ar-Rayyan,7,Uruguay,17,South Korea,0,0,,,FT
2022,855745,2022-11-24T16:00:00+00:00,1669305600,Group Stage - 1,Stadium 974,Doha,27,Portugal,1504,Ghana,3,2,True,False,FT
2022,855746,2022-11-24T19:00:00+00:00,1669316400,Group Stage - 1,Lusail Iconic Stadium,Lusail,6,Brazil,14,Serbia,2,0,True,False,FT
2022,866682,2022-11-25T10:00:00+00:00,1669370400,Group Stage - 2,Ahmad bin Ali Stadium,Al-Rayyan,767,Wales,22,Iran,0,2,False,True,FT
2022,855747,2022-11-25T13:00:00+00:00,1669381200,Group Stage - 2,Al Thumama Stadium,Doha,1569,Qatar,13,Senegal,1,3,False,True,FT
2022,855748,2022-11-25T16:00:00+00:00,1669392000,Group Stage - 2,Khalifa International Stadium,Ar-Rayyan,1118,Netherlands,2382,Ecuador,1,1,,,FT
