season,fixture_id,date_utc,timestamp,status_long,status_short,elapsed,round,venue_id,venue_name,venue_city,home_team_id,home_team,home_winner,away_team_id,away_team,away_winner,home_goals,away_goals,halftime_home_goals,halftime_away_goals,fulltime_home_goals,fulltime_away_goals,extratime_home_goals,extratime_away_goals,penalty_home_goals,penalty_away_goals
2026,1538999,2026-06-12T02:00:00+00:00,1781229600,Second Half,2H,55.0,Group Stage - 1,1076.0,Estadio Akron,Guadalajara,17,South Korea,,770,Czech Republic,,0.0,0.0,0.0,0.0,,,,,,
2026,1489369,2026-06-11T19:00:00+00:00,1781204400,Match Finished,FT,90.0,Group Stage - 1,1069.0,Estadio Azteca,Mexico City,16,Mexico,True,1531,South Africa,False,2.0,0.0,1.0,0.0,2.0,0.0,,,,
2026,1539000,2026-06-12T19:00:00+00:00,1781290800,Not Started,NS,,Group Stage - 1,312.0,BMO Field,Toronto,5529,Canada,,1113,Bosnia & Herzegovina,,,,,,,,,,,
2026,1489370,2026-06-13T01:00:00+00:00,1781312400,Not Started,NS,,Group Stage - 1,,SoFi Stadium,Los Angeles,2384,USA,,2380,Paraguay,,,,,,,,,,,
2026,1489373,2026-06-13T19:00:00+00:00,1781377200,Not Started,NS,,Group Stage - 1,,Levi's Stadium,San Francisco Bay Area,1569,Qatar,,15,Switzerland,,,,,,,,,,,
2026,1489371,2026-06-13T22:00:00+00:00,1781388000,Not Started,NS,,Group Stage - 1,,MetLife Stadium,New York New Jersey,6,Brazil,,31,Morocco,,,,,,,,,,,
2026,1489372,2026-06-14T01:00:00+00:00,1781398800,Not Started,NS,,Group Stage - 1,1618.0,Gillette Stadium,Boston,2386,Haiti,,1108,Scotland,,,,,,,,,,,
2026,1539001,2026-06-14T04:00:00+00:00,1781409600,Not Started,NS,,Group Stage - 1,19445.0,BC Place,Vancouver,20,Australia,,777,Türkiye,,,,,,,,,,,
2026,1489374,2026-06-14T17:00:00+00:00,1781456400,Not Started,NS,,Group Stage - 1,,NRG Stadium,Houston,25,Germany,,5530,Curaçao,,,,,,,,,,,
2026,1489376,2026-06-14T20:00:00+00:00,1781467200,Not Started,NS,,Group Stage - 1,,AT&T Stadium,Dallas,1118,Netherlands,,12,Japan,,,,,,,,,,,
2026,1489375,2026-06-14T23:00:00+00:00,1781478000,Not Started,NS,,Group Stage - 1,,Lincoln Financial Field,Philadelphia,1501,Ivory Coast,,2382,Ecuador,,,,,,,,,,,
2026,1539002,2026-06-15T02:00:00+00:00,1781488800,Not Started,NS,,Group Stage - 1,11905.0,Estadio BBVA,Monterrey,5,Sweden,,28,Tunisia,,,,,,,,,,,
2026,1489380,2026-06-15T16:00:00+00:00,1781539200,Not Started,NS,,Group Stage - 1,1898.0,Mercedes-Benz Stadium,Atlanta,9,Spain,,1533,Cape Verde Islands,,,,,,,,,,,
2026,1489377,2026-06-15T19:00:00+00:00,1781550000,Not Started,NS,,Group Stage - 1,11534.0,Lumen Field,Seattle,1,Belgium,,32,Egypt,,,,,,,,,,,
2026,1489379,2026-06-15T22:00:00+00:00,1781560800,Not Started,NS,,Group Stage - 1,,Hard Rock Stadium,Miami,23,Saudi Arabia,,7,Uruguay,,,,,,,,,,,
2026,1489378,2026-06-16T01:00:00+00:00,1781571600,Not Started,NS,,Group Stage - 1,,SoFi Stadium,Los Angeles,22,Iran,,4673,New Zealand,,,,,,,,,,,
2026,1489383,2026-06-16T19:00:00+00:00,1781636400,Not Started,NS,,Group Stage - 1,,MetLife Stadium,New York New Jersey,2,France,,13,Senegal,,,,,,,,,,,
2026,1539016,2026-06-16T22:00:00+00:00,1781647200,Not Started,NS,,Group Stage - 1,1618.0,Gillette Stadium,Boston,1567,Iraq,,1090,Norway,,,,,,,,,,,
2026,1489381,2026-06-17T01:00:00+00:00,1781658000,Not Started,NS,,Group Stage - 1,,Arrowhead Stadium,Kansas City,26,Argentina,,1532,Algeria,,,,,,,,,,,
2026,1489382,2026-06-17T04:00:00+00:00,1781668800,Not Started,NS,,Group Stage - 1,,Levi's Stadium,San Francisco Bay Area,775,Austria,,1548,Jordan,,,,,,,,,,,
