season,league_id,league,group,rank,team_id,team,points,goals_diff,form,description,played,wins,draws,losses,goals_for,goals_against,updated
2026,1,World Cup,Group Stage - Group A,1,16,Mexico,3,2,W,Advancing to the Round of 32,1,1,0,0,2,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group A,2,17,South Korea,0,0,,Advancing to the Round of 32,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group A,3,770,Czech Republic,0,0,,Possible Advanced,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group A,4,1531,South Africa,0,-2,L,,1,0,0,1,0,2,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group B,1,5529,Canada,0,0,,Advancing to the Round of 32,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group B,2,1113,Bosnia & Herzegovina,0,0,,Advancing to the Round of 32,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group B,3,1569,Qatar,0,0,,Possible Advanced,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group B,4,15,Switzerland,0,0,,,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group C,1,6,Brazil,0,0,,Advancing to the Round of 32,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group C,2,31,Morocco,0,0,,Advancing to the Round of 32,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group C,3,2386,Haiti,0,0,,Possible Advanced,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group C,4,1108,Scotland,0,0,,,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group D,1,2384,USA,0,0,,Advancing to the Round of 32,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group D,2,2380,Paraguay,0,0,,Advancing to the Round of 32,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group D,3,20,Australia,0,0,,Possible Advanced,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group D,4,777,Türkiye,0,0,,,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group E,1,25,Germany,0,0,,Advancing to the Round of 32,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group E,2,5530,Curaçao,0,0,,Advancing to the Round of 32,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group E,3,1501,Ivory Coast,0,0,,Possible Advanced,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group E,4,2382,Ecuador,0,0,,,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
2026,1,World Cup,Group Stage - Group F,1,1118,Netherlands,0,0,,Advancing to the Round of 32,0,0,0,0,0,0,2026-06-12T00:00:00+00:00
