season,team_id,team,team_code,country,founded,national,logo,home_venue_id,home_venue_name,home_venue_city,home_venue_capacity,home_venue_surface
2026,1,Belgium,BEL,Belgium,1895,True,https://media.api-sports.io/football/teams/1.png,795,King Baudouin Stadium,Brussels,50093,grass
2026,2,France,FRA,France,1919,True,https://media.api-sports.io/football/teams/2.png,666,Groupama Stadium,Saint-Denis,80698,grass
2026,3,Croatia,CRO,Croatia,1912,True,https://media.api-sports.io/football/teams/3.png,22430,Stadion Maksimir,Zagreb,25912,grass
2026,5,Sweden,SWE,Sweden,1904,True,https://media.api-sports.io/football/teams/5.png,21411,Strawberry Arena,Solna,50653,grass
2026,6,Brazil,BRA,Brazil,1914,True,https://media.api-sports.io/football/teams/6.png,11531,Maracanã,Rio de Janeiro,78838,grass
2026,7,Uruguay,URU,Uruguay,1900,True,https://media.api-sports.io/football/teams/7.png,1624,Estadio Centenario,Montevideo,60235,grass
2026,8,Colombia,COL,Colombia,1924,True,https://media.api-sports.io/football/teams/8.png,366,Estadio Metropolitano Roberto Meléndez,Barranquilla,46788,grass
2026,9,Spain,ESP,Spain,1913,True,https://media.api-sports.io/football/teams/9.png,3989,Santiago Bernabéu,Madrid,83186,grass
2026,10,England,ENG,England,1863,True,https://media.api-sports.io/football/teams/10.png,566,Wembley Stadium,London,90000,grass
2026,11,Panama,PAN,Panama,1937,True,https://media.api-sports.io/football/teams/11.png,11535,Estadio Rommel Fernández,Panama City,32000,grass
2026,12,Japan,JPN,Japan,1921,True,https://media.api-sports.io/football/teams/12.png,18623,Saitama Stadium 2002,Saitama,63700,grass
2026,13,Senegal,SEN,Senegal,1960,True,https://media.api-sports.io/football/teams/13.png,22435,Stade Me Abdoulaye Wade,Diamniadio,50000,grass
2026,15,Switzerland,SUI,Switzerland,1895,True,https://media.api-sports.io/football/teams/15.png,1543,St. Jakob-Park,Basel,38512,grass
2026,16,Mexico,MEX,Mexico,1927,True,https://media.api-sports.io/football/teams/16.png,22432,Estadio Banorte,Mexico City,87000,grass
2026,17,South Korea,KOR,South-Korea,1933,True,https://media.api-sports.io/football/teams/17.png,22429,Seoul World Cup Stadium,Seoul,66704,grass
2026,20,Australia,AUS,Australia,1961,True,https://media.api-sports.io/football/teams/20.png,18601,Accor Stadium,Sydney,82000,grass
2026,22,Iran,IRN,Iran,1920,True,https://media.api-sports.io/football/teams/22.png,22428,Azadi Stadium,Tehran,78116,grass
2026,23,Saudi Arabia,KSA,Saudi-Arabia,1956,True,https://media.api-sports.io/football/teams/23.png,22434,King Fahd Sports City Stadium,Riyadh,68752,grass
2026,25,Germany,GER,Germany,1900,True,https://media.api-sports.io/football/teams/25.png,12717,Signal Iduna Park,Dortmund,81365,grass
2026,26,Argentina,ARG,Argentina,1893,True,https://media.api-sports.io/football/teams/26.png,46,Estadio Mâs Monumental,Buenos Aires,85018,grass
2026,27,Portugal,POR,Portugal,1914,True,https://media.api-sports.io/football/teams/27.png,1293,Estádio da Luz,Lisbon,68100,grass
2026,28,Tunisia,TUN,Tunisia,1957,True,https://media.api-sports.io/football/teams/28.png,21412,Stade Olympique Hammadi Agrebi,Radès,60000,grass
2026,31,Morocco,MAR,Morocco,1955,True,https://media.api-sports.io/football/teams/31.png,2260,Stade Mohammed V,Casablanca,67000,artificial turf
2026,32,Egypt,EGY,Egypt,1921,True,https://media.api-sports.io/football/teams/32.png,11492,Cairo International Stadium,Cairo,75000,grass
2026,770,Czech Republic,CZE,Czech-Republic,1901,True,https://media.api-sports.io/football/teams/770.png,435,Fortuna Arena,Prague,19370,grass
