match_id,home_team,away_team,polymarket_market_id,polymarket_question,outcome_type,token_id,mapped_outcome,market_slug,market_liquidity,market_end_date,mapping_status,notes,timestamp,best_bid,best_ask,mid_price,spread,bid_depth,ask_depth,last_trade_price,price_fetch_status,model_prob,market_prob,edge,signal
,,,558934,Will Spain win the 2026 FIFA World Cup?,manual_review,4394372887385518214471608448209527405727552777602031099972143344338178308080,Yes,will-spain-win-the-2026-fifa-world-cup-963,976012.8262,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.,2026-06-11T06:02:16.197041+00:00,0.169,0.17,0.1695,0.0010000000000000009,9700985.24,27924759.29999998,0.17,ok,,0.17,,Needs Mapping
,,,558934,Will Spain win the 2026 FIFA World Cup?,manual_review,112680630004798425069810935278212000865453267506345451433803052322987302357330,No,will-spain-win-the-2026-fifa-world-cup-963,976012.8262,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.,2026-06-11T06:02:16.197041+00:00,0.83,0.831,0.8305,0.0010000000000000009,27924807.34999998,9708205.24,0.17,ok,,0.831,,Needs Mapping
,,,558935,Will England win the 2026 FIFA World Cup?,manual_review,115556263888245616435851357148058235707004733438163639091106356867234218207169,Yes,will-england-win-the-2026-fifa-world-cup-937,1690131.21763,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.,2026-06-11T06:02:16.197041+00:00,0.108,0.109,0.1085,0.0010000000000000009,7727747.0200000005,29873404.999999996,0.109,ok,,0.109,,Needs Mapping
,,,558935,Will England win the 2026 FIFA World Cup?,manual_review,77121637225348873006259930776623502125079210522997384841464684944292365296940,No,will-england-win-the-2026-fifa-world-cup-937,1690131.21763,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.,2026-06-11T06:02:16.197041+00:00,0.891,0.892,0.8915,0.0010000000000000009,29891540.999999996,7727747.0200000005,0.109,ok,,0.892,,Needs Mapping
,,,558936,Will France win the 2026 FIFA World Cup?,manual_review,108233603819467706476318984012158651931658302669301887462181073562758483842092,Yes,will-france-win-the-2026-fifa-world-cup-924,1416770.90173,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.,2026-06-11T06:02:16.197041+00:00,0.16,0.161,0.1605,0.0010000000000000009,6789276.880000001,27740630.18999997,0.161,ok,,0.161,,Needs Mapping
,,,558936,Will France win the 2026 FIFA World Cup?,manual_review,32270411694523539495262303868629477861017829722282576458031815333486368239544,No,will-france-win-the-2026-fifa-world-cup-924,1416770.90173,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.,2026-06-11T06:02:16.197041+00:00,0.839,0.84,0.8394999999999999,0.0010000000000000009,27737552.06999997,6661194.510000001,0.161,ok,,0.84,,Needs Mapping
,,,558937,Will Brazil win the 2026 FIFA World Cup?,manual_review,27576533317283401577758999384642760405921738493660383550832555714312627457443,Yes,will-brazil-win-the-2026-fifa-world-cup-183,1867566.74558,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.,2026-06-11T06:02:16.197041+00:00,0.084,0.085,0.0845,0.0010000000000000009,9452481.5,30053118.989999987,0.085,ok,,0.085,,Needs Mapping
,,,558937,Will Brazil win the 2026 FIFA World Cup?,manual_review,52986718774908357330412653486471347449818893503063830313445318937088822580057,No,will-brazil-win-the-2026-fifa-world-cup-183,1867566.74558,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.,2026-06-11T06:02:16.197041+00:00,0.915,0.916,0.9155,0.0010000000000000009,30050257.809999987,9354213.149999999,0.085,ok,,0.916,,Needs Mapping
,,,558938,Will Argentina win the 2026 FIFA World Cup?,manual_review,18812649149814341758733697580460697418474693998558159483117100240528657629879,Yes,will-argentina-win-the-2026-fifa-world-cup-245,1005338.23872,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.,2026-06-11T06:02:16.197041+00:00,0.093,0.094,0.0935,0.0010000000000000009,8371217.8599999985,27502986.949999996,0.094,ok,,0.094,,Needs Mapping
,,,558938,Will Argentina win the 2026 FIFA World Cup?,manual_review,115428153746996892211798999366308897078723117634059783423375188043903703749062,No,will-argentina-win-the-2026-fifa-world-cup-245,1005338.23872,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.,2026-06-11T06:02:16.197041+00:00,0.906,0.907,0.9065000000000001,0.0010000000000000009,27502986.949999996,8371217.8599999985,0.094,ok,,0.907,,Needs Mapping
