match_id,home_team,away_team,polymarket_market_id,polymarket_question,outcome_type,token_id,mapped_outcome,market_slug,market_liquidity,market_end_date,mapping_status,notes
,,,558934,Will Spain win the 2026 FIFA World Cup?,manual_review,4394372887385518214471608448209527405727552777602031099972143344338178308080,Yes,will-spain-win-the-2026-fifa-world-cup-963,976012.8262,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.
,,,558934,Will Spain win the 2026 FIFA World Cup?,manual_review,112680630004798425069810935278212000865453267506345451433803052322987302357330,No,will-spain-win-the-2026-fifa-world-cup-963,976012.8262,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.
,,,558935,Will England win the 2026 FIFA World Cup?,manual_review,115556263888245616435851357148058235707004733438163639091106356867234218207169,Yes,will-england-win-the-2026-fifa-world-cup-937,1690131.21763,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.
,,,558935,Will England win the 2026 FIFA World Cup?,manual_review,77121637225348873006259930776623502125079210522997384841464684944292365296940,No,will-england-win-the-2026-fifa-world-cup-937,1690131.21763,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.
,,,558936,Will France win the 2026 FIFA World Cup?,manual_review,108233603819467706476318984012158651931658302669301887462181073562758483842092,Yes,will-france-win-the-2026-fifa-world-cup-924,1416770.90173,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.
,,,558936,Will France win the 2026 FIFA World Cup?,manual_review,32270411694523539495262303868629477861017829722282576458031815333486368239544,No,will-france-win-the-2026-fifa-world-cup-924,1416770.90173,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.
,,,558937,Will Brazil win the 2026 FIFA World Cup?,manual_review,27576533317283401577758999384642760405921738493660383550832555714312627457443,Yes,will-brazil-win-the-2026-fifa-world-cup-183,1867566.74558,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.
,,,558937,Will Brazil win the 2026 FIFA World Cup?,manual_review,52986718774908357330412653486471347449818893503063830313445318937088822580057,No,will-brazil-win-the-2026-fifa-world-cup-183,1867566.74558,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.
,,,558938,Will Argentina win the 2026 FIFA World Cup?,manual_review,18812649149814341758733697580460697418474693998558159483117100240528657629879,Yes,will-argentina-win-the-2026-fifa-world-cup-245,1005338.23872,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.
,,,558938,Will Argentina win the 2026 FIFA World Cup?,manual_review,115428153746996892211798999366308897078723117634059783423375188043903703749062,No,will-argentina-win-the-2026-fifa-world-cup-245,1005338.23872,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.
,,,558939,Will Germany win the 2026 FIFA World Cup?,manual_review,81739002353269632749850710185641576213562066971072676369728657545679630163887,Yes,will-germany-win-the-2026-fifa-world-cup-467,2516915.11539,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.
,,,558939,Will Germany win the 2026 FIFA World Cup?,manual_review,45484070731786948288366703334552551439356529561722304542938873238430842810537,No,will-germany-win-the-2026-fifa-world-cup-467,2516915.11539,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.
,,,558940,Will Portugal win the 2026 FIFA World Cup?,manual_review,45415751658241142530386585138386640503488308219341470020075667342738719018629,Yes,will-portugal-win-the-2026-fifa-world-cup-912,598157.86929,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.
