event_name,event_url,event_slug,start_date,home_team,away_team,source_page,fetch_status
Algeria vs Argentina,https://polymarket.com/sports/world-cup/fifwc-arg-alg-2026-06-16,fifwc-arg-alg-2026-06-16,2026-06-16,Argentina,Algeria,https://polymarket.com/sports/world-cup/games,ok
Türkiye vs Australia,https://polymarket.com/sports/world-cup/fifwc-aus-tur-2026-06-14,fifwc-aus-tur-2026-06-14,2026-06-14,Australia,Türkiye,https://polymarket.com/sports/world-cup/games,ok
Jordan vs Austria,https://polymarket.com/sports/world-cup/fifwc-aut-jor-2026-06-17,fifwc-aut-jor-2026-06-17,2026-06-17,Austria,Jordan,https://polymarket.com/sports/world-cup/games,ok
Egypt vs Belgium,https://polymarket.com/sports/world-cup/fifwc-bel-egy-2026-06-15,fifwc-bel-egy-2026-06-15,2026-06-15,Belgium,Egypt,https://polymarket.com/sports/world-cup/games,ok
Morocco vs Brazil,https://polymarket.com/sports/world-cup/fifwc-bra-mar-2026-06-13,fifwc-bra-mar-2026-06-13,2026-06-13,Brazil,Morocco,https://polymarket.com/sports/world-cup/games,ok
Bosnia-Herzegovina vs Canada,https://polymarket.com/sports/world-cup/fifwc-can-bih-2026-06-12,fifwc-can-bih-2026-06-12,2026-06-12,Canada,Bosnia-Herzegovina,https://polymarket.com/sports/world-cup/games,ok
Ecuador vs Côte d'Ivoire,https://polymarket.com/sports/world-cup/fifwc-civ-ecu-2026-06-14,fifwc-civ-ecu-2026-06-14,2026-06-14,Côte d'Ivoire,Ecuador,https://polymarket.com/sports/world-cup/games,ok
Cabo Verde vs Spain,https://polymarket.com/sports/world-cup/fifwc-esp-cvi-2026-06-15,fifwc-esp-cvi-2026-06-15,2026-06-15,Spain,Cabo Verde,https://polymarket.com/sports/world-cup/games,ok
Senegal vs France,https://polymarket.com/sports/world-cup/fifwc-fra-sen-2026-06-16,fifwc-fra-sen-2026-06-16,2026-06-16,France,Senegal,https://polymarket.com/sports/world-cup/games,ok
Curaçao vs Germany,https://polymarket.com/sports/world-cup/fifwc-ger-kor-2026-06-14,fifwc-ger-kor-2026-06-14,2026-06-14,Germany,Curaçao,https://polymarket.com/sports/world-cup/games,ok
Scotland vs Haiti,https://polymarket.com/sports/world-cup/fifwc-hai-sco-2026-06-13,fifwc-hai-sco-2026-06-13,2026-06-13,Haiti,Scotland,https://polymarket.com/sports/world-cup/games,ok
New Zealand vs IR Iran,https://polymarket.com/sports/world-cup/fifwc-irn-nzl-2026-06-15,fifwc-irn-nzl-2026-06-15,2026-06-15,IR Iran,New Zealand,https://polymarket.com/sports/world-cup/games,ok
Norway vs Iraq,https://polymarket.com/sports/world-cup/fifwc-irq-nor-2026-06-16,fifwc-irq-nor-2026-06-16,2026-06-16,Iraq,Norway,https://polymarket.com/sports/world-cup/games,ok
Czechia vs Korea Republic,https://polymarket.com/sports/world-cup/fifwc-kr-cze-2026-06-11,fifwc-kr-cze-2026-06-11,2026-06-11,Korea Republic,Czechia,https://polymarket.com/sports/world-cup/games,ok
Uruguay vs Saudi Arabia,https://polymarket.com/sports/world-cup/fifwc-ksa-ury-2026-06-15,fifwc-ksa-ury-2026-06-15,2026-06-15,Saudi Arabia,Uruguay,https://polymarket.com/sports/world-cup/games,ok
South Africa vs Mexico,https://polymarket.com/sports/world-cup/fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11,2026-06-11,Mexico,South Africa,https://polymarket.com/sports/world-cup/games,ok
Japan vs Netherlands,https://polymarket.com/sports/world-cup/fifwc-nld-jpn-2026-06-14,fifwc-nld-jpn-2026-06-14,2026-06-14,Netherlands,Japan,https://polymarket.com/sports/world-cup/games,ok
Switzerland vs Qatar,https://polymarket.com/sports/world-cup/fifwc-qat-che-2026-06-13,fifwc-qat-che-2026-06-13,2026-06-13,Qatar,Switzerland,https://polymarket.com/sports/world-cup/games,ok
Tunisia vs Sweden,https://polymarket.com/sports/world-cup/fifwc-swe-tun-2026-06-14,fifwc-swe-tun-2026-06-14,2026-06-14,Sweden,Tunisia,https://polymarket.com/sports/world-cup/games,ok
Paraguay vs United States,https://polymarket.com/sports/world-cup/fifwc-usa-par-2026-06-12,fifwc-usa-par-2026-06-12,2026-06-12,United States,Paraguay,https://polymarket.com/sports/world-cup/games,ok
