match_id,date,group,round,home_team,away_team,home_code,away_code,polymarket_slug,gamma_api_url,event_url,sports_url,status
wc2026_r001,2026-06-11,Group A,Matchday 1,Mexico,South Africa,mex,rsa,fifwc-mex-rsa-2026-06-11,https://gamma-api.polymarket.com/events/slug/fifwc-mex-rsa-2026-06-11,https://polymarket.com/event/fifwc-mex-rsa-2026-06-11#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-mex-rsa-2026-06-11,web_verified_example
wc2026_r002,2026-06-11,Group A,Matchday 1,South Korea,Czechia,kr,cze,fifwc-kr-cze-2026-06-11,https://gamma-api.polymarket.com/events/slug/fifwc-kr-cze-2026-06-11,https://polymarket.com/event/fifwc-kr-cze-2026-06-11#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-kr-cze-2026-06-11,web_verified_example
wc2026_r003,2026-06-18,Group A,Matchday 8,Czechia,South Africa,cze,rsa,fifwc-cze-rsa-2026-06-18,https://gamma-api.polymarket.com/events/slug/fifwc-cze-rsa-2026-06-18,https://polymarket.com/event/fifwc-cze-rsa-2026-06-18#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-cze-rsa-2026-06-18,candidate_needs_gamma_validation
wc2026_r004,2026-06-18,Group A,Matchday 8,Mexico,South Korea,mex,kr,fifwc-mex-kr-2026-06-18,https://gamma-api.polymarket.com/events/slug/fifwc-mex-kr-2026-06-18,https://polymarket.com/event/fifwc-mex-kr-2026-06-18#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-mex-kr-2026-06-18,candidate_needs_gamma_validation
wc2026_r005,2026-06-24,Group A,Matchday 14,Czechia,Mexico,cze,mex,fifwc-cze-mex-2026-06-24,https://gamma-api.polymarket.com/events/slug/fifwc-cze-mex-2026-06-24,https://polymarket.com/event/fifwc-cze-mex-2026-06-24#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-cze-mex-2026-06-24,candidate_needs_gamma_validation
wc2026_r006,2026-06-24,Group A,Matchday 14,South Africa,South Korea,rsa,kr,fifwc-rsa-kr-2026-06-24,https://gamma-api.polymarket.com/events/slug/fifwc-rsa-kr-2026-06-24,https://polymarket.com/event/fifwc-rsa-kr-2026-06-24#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-rsa-kr-2026-06-24,candidate_needs_gamma_validation
wc2026_r007,2026-06-12,Group B,Matchday 2,Canada,Bosnia and Herzegovina,can,bih,fifwc-can-bih-2026-06-12,https://gamma-api.polymarket.com/events/slug/fifwc-can-bih-2026-06-12,https://polymarket.com/event/fifwc-can-bih-2026-06-12#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-can-bih-2026-06-12,web_verified_example
wc2026_r008,2026-06-13,Group B,Matchday 3,Qatar,Switzerland,qat,che,fifwc-qat-che-2026-06-13,https://gamma-api.polymarket.com/events/slug/fifwc-qat-che-2026-06-13,https://polymarket.com/event/fifwc-qat-che-2026-06-13#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-qat-che-2026-06-13,candidate_needs_gamma_validation
wc2026_r009,2026-06-18,Group B,Matchday 8,Switzerland,Bosnia and Herzegovina,che,bih,fifwc-che-bih-2026-06-18,https://gamma-api.polymarket.com/events/slug/fifwc-che-bih-2026-06-18,https://polymarket.com/event/fifwc-che-bih-2026-06-18#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-che-bih-2026-06-18,candidate_needs_gamma_validation
wc2026_r010,2026-06-18,Group B,Matchday 8,Canada,Qatar,can,qat,fifwc-can-qat-2026-06-18,https://gamma-api.polymarket.com/events/slug/fifwc-can-qat-2026-06-18,https://polymarket.com/event/fifwc-can-qat-2026-06-18#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-can-qat-2026-06-18,web_verified_example
wc2026_r011,2026-06-24,Group B,Matchday 14,Switzerland,Canada,che,can,fifwc-che-can-2026-06-24,https://gamma-api.polymarket.com/events/slug/fifwc-che-can-2026-06-24,https://polymarket.com/event/fifwc-che-can-2026-06-24#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-che-can-2026-06-24,web_verified_example
wc2026_r012,2026-06-24,Group B,Matchday 14,Bosnia and Herzegovina,Qatar,bih,qat,fifwc-bih-qat-2026-06-24,https://gamma-api.polymarket.com/events/slug/fifwc-bih-qat-2026-06-24,https://polymarket.com/event/fifwc-bih-qat-2026-06-24#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-bih-qat-2026-06-24,candidate_needs_gamma_validation
wc2026_r013,2026-06-13,Group C,Matchday 3,Brazil,Morocco,bra,mar,fifwc-bra-mar-2026-06-13,https://gamma-api.polymarket.com/events/slug/fifwc-bra-mar-2026-06-13,https://polymarket.com/event/fifwc-bra-mar-2026-06-13#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-bra-mar-2026-06-13,web_verified_example
wc2026_r014,2026-06-13,Group C,Matchday 3,Haiti,Scotland,hai,sco,fifwc-hai-sco-2026-06-13,https://gamma-api.polymarket.com/events/slug/fifwc-hai-sco-2026-06-13,https://polymarket.com/event/fifwc-hai-sco-2026-06-13#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-hai-sco-2026-06-13,candidate_needs_gamma_validation
wc2026_r015,2026-06-19,Group C,Matchday 9,Scotland,Morocco,sco,mar,fifwc-sco-mar-2026-06-19,https://gamma-api.polymarket.com/events/slug/fifwc-sco-mar-2026-06-19,https://polymarket.com/event/fifwc-sco-mar-2026-06-19#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-sco-mar-2026-06-19,candidate_needs_gamma_validation
wc2026_r016,2026-06-19,Group C,Matchday 9,Brazil,Haiti,bra,hai,fifwc-bra-hai-2026-06-19,https://gamma-api.polymarket.com/events/slug/fifwc-bra-hai-2026-06-19,https://polymarket.com/event/fifwc-bra-hai-2026-06-19#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-bra-hai-2026-06-19,candidate_needs_gamma_validation
wc2026_r017,2026-06-24,Group C,Matchday 14,Scotland,Brazil,sco,bra,fifwc-sco-bra-2026-06-24,https://gamma-api.polymarket.com/events/slug/fifwc-sco-bra-2026-06-24,https://polymarket.com/event/fifwc-sco-bra-2026-06-24#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-sco-bra-2026-06-24,candidate_needs_gamma_validation
wc2026_r018,2026-06-24,Group C,Matchday 14,Morocco,Haiti,mar,hai,fifwc-mar-hai-2026-06-24,https://gamma-api.polymarket.com/events/slug/fifwc-mar-hai-2026-06-24,https://polymarket.com/event/fifwc-mar-hai-2026-06-24#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-mar-hai-2026-06-24,candidate_needs_gamma_validation
wc2026_r019,2026-06-12,Group D,Matchday 2,United States,Paraguay,usa,par,fifwc-usa-par-2026-06-12,https://gamma-api.polymarket.com/events/slug/fifwc-usa-par-2026-06-12,https://polymarket.com/event/fifwc-usa-par-2026-06-12#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-usa-par-2026-06-12,web_verified_example
wc2026_r020,2026-06-13,Group D,Matchday 3,Australia,Turkey,aus,tur,fifwc-aus-tur-2026-06-13,https://gamma-api.polymarket.com/events/slug/fifwc-aus-tur-2026-06-13,https://polymarket.com/event/fifwc-aus-tur-2026-06-13#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-aus-tur-2026-06-13,candidate_needs_gamma_validation
wc2026_r021,2026-06-19,Group D,Matchday 9,United States,Australia,usa,aus,fifwc-usa-aus-2026-06-19,https://gamma-api.polymarket.com/events/slug/fifwc-usa-aus-2026-06-19,https://polymarket.com/event/fifwc-usa-aus-2026-06-19#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-usa-aus-2026-06-19,candidate_needs_gamma_validation
wc2026_r022,2026-06-19,Group D,Matchday 9,Turkey,Paraguay,tur,par,fifwc-tur-par-2026-06-19,https://gamma-api.polymarket.com/events/slug/fifwc-tur-par-2026-06-19,https://polymarket.com/event/fifwc-tur-par-2026-06-19#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-tur-par-2026-06-19,candidate_needs_gamma_validation
wc2026_r023,2026-06-25,Group D,Matchday 15,Turkey,United States,tur,usa,fifwc-tur-usa-2026-06-25,https://gamma-api.polymarket.com/events/slug/fifwc-tur-usa-2026-06-25,https://polymarket.com/event/fifwc-tur-usa-2026-06-25#JoWiVFg,https://polymarket.com/sports/world-cup/fifwc-tur-usa-2026-06-25,candidate_needs_gamma_validation
