team,group,rank_1_prob,rank_2_prob,rank_3_prob,rank_4_prob,top2_prob,third_place_prob,advance_round_of_32_prob,avg_points,avg_goal_diff,avg_goals_for
Mexico,Group A,0.4856,0.29585,0.1706,0.04795,0.78145,0.1706,0.9249,5.5953,2.23675,5.11825
Czechia,Group A,0.3015,0.3168,0.27735,0.10435,0.6183,0.27735,0.83625,4.6925,1.00605,4.47035
South Korea,Group A,0.17875,0.288,0.3135,0.21975,0.46675,0.3135,0.6943,3.95635,-0.19705,3.7777
South Africa,Group A,0.03415,0.09935,0.23855,0.62795,0.1335,0.23855,0.28495,2.0129,-3.04575,2.56705
Switzerland,Group B,0.67575,0.25525,0.054,0.015,0.931,0.054,0.97755,6.93115,3.89855,6.02245
Canada,Group B,0.28375,0.562,0.13265,0.0216,0.84575,0.13265,0.9525,5.60895,2.12775,5.2562
Bosnia and Herzegovina,Group B,0.0315,0.1397,0.60225,0.22655,0.1712,0.60225,0.5588,2.9599,-1.84585,3.2987
Qatar,Group B,0.009,0.04305,0.2111,0.73685,0.05205,0.2111,0.15115,1.25505,-4.18045,2.05375
Brazil,Group C,0.5795,0.28315,0.1152,0.02215,0.86265,0.1152,0.9645,6.1844,2.9477,5.55515
Scotland,Group C,0.2791,0.3413,0.23755,0.14205,0.6204,0.23755,0.78835,4.6351,1.00095,4.2858
Morocco,Group C,0.12675,0.30525,0.42595,0.14205,0.432,0.42595,0.74925,3.89645,-0.34045,3.86035
Haiti,Group C,0.01465,0.0703,0.2213,0.69375,0.08495,0.2213,0.21725,1.6911,-3.6082,2.37255
Turkey,Group D,0.47905,0.2683,0.1611,0.09155,0.74735,0.1611,0.8815,5.27845,1.8366,4.8835
United States,Group D,0.21805,0.28845,0.2639,0.2296,0.5065,0.2639,0.7008,3.97855,0.01815,3.92615
Paraguay,Group D,0.17605,0.24475,0.30245,0.27675,0.4208,0.30245,0.64295,3.67025,-0.56645,3.6095
Australia,Group D,0.12685,0.1985,0.27255,0.4021,0.32535,0.27255,0.51245,3.13465,-1.2883,3.2195
Germany,Group E,0.4389,0.4586,0.088,0.0145,0.8975,0.088,0.9738,6.094,2.80805,5.6175
Ecuador,Group E,0.50845,0.3566,0.1153,0.01965,0.86505,0.1153,0.9625,6.1244,2.90535,5.44955
Ivory Coast,Group E,0.0436,0.1347,0.4273,0.3944,0.1783,0.4273,0.41975,2.57035,-2.1935,2.85425
Curaçao,Group E,0.00905,0.0501,0.3694,0.57145,0.05915,0.3694,0.2717,1.8044,-3.5199,2.4782
Netherlands,Group F,0.6755,0.2183,0.08075,0.02545,0.8938,0.08075,0.9634,6.5226,3.38725,5.73835
Japan,Group F,0.1878,0.42025,0.25785,0.1341,0.60805,0.25785,0.7989,4.39345,0.3568,4.1627
Tunisia,Group F,0.10605,0.2212,0.29535,0.3774,0.32725,0.29535,0.501,3.00965,-1.2504,3.1718
Sweden,Group F,0.03065,0.14025,0.36605,0.46305,0.1709,0.36605,0.4028,2.47385,-2.49365,2.9149
Belgium,Group G,0.6778,0.20315,0.0876,0.03145,0.88095,0.0876,0.9556,6.4747,3.32645,5.7336
Iran,Group G,0.1599,0.3713,0.2894,0.1794,0.5312,0.2894,0.73745,4.0876,-0.09365,3.956
New Zealand,Group G,0.10915,0.2305,0.33755,0.3228,0.33965,0.33755,0.56495,3.18935,-1.113,3.3986
Egypt,Group G,0.05315,0.19505,0.28545,0.46635,0.2482,0.28545,0.41775,2.60415,-2.1198,2.91475
Spain,Group H,0.733,0.2456,0.0195,0.0019,0.9786,0.0195,0.9971,7.2901,4.34385,6.4774
Uruguay,Group H,0.24615,0.51345,0.17655,0.06385,0.7596,0.17655,0.88095,5.05975,1.56165,4.71675
Cape Verde,Group H,0.00745,0.10135,0.44085,0.45035,0.1088,0.44085,0.3547,2.1804,-3.0173,2.7367
Saudi Arabia,Group H,0.0134,0.1396,0.3631,0.4839,0.153,0.3631,0.3279,2.15315,-2.8882,2.6008
France,Group I,0.5162,0.3787,0.0922,0.0129,0.8949,0.0922,0.97475,6.23725,3.0266,5.65815
Norway,Group I,0.41655,0.3752,0.1472,0.06105,0.79175,0.1472,0.9053,5.6273,2.29145,5.01965
Senegal,Group I,0.0581,0.19185,0.55565,0.1944,0.24995,0.55565,0.6255,3.282,-1.33035,3.5034
Iraq,Group I,0.00915,0.05425,0.20495,0.73165,0.0634,0.20495,0.17035,1.4147,-3.9877,2.1626
Argentina,Group J,0.81275,0.1352,0.04105,0.011,0.94795,0.04105,0.9848,7.20425,4.2481,6.26375
Austria,Group J,0.0723,0.38025,0.33535,0.2121,0.45255,0.33535,0.67515,3.61935,-0.7973,3.6499
Jordan,Group J,0.0719,0.22295,0.32555,0.3796,0.29485,0.32555,0.4935,2.8446,-1.5676,3.1496
Algeria,Group J,0.04305,0.2616,0.29805,0.3973,0.30465,0.29805,0.47055,2.8055,-1.8832,3.04885
Portugal,Group K,0.417,0.43695,0.1157,0.03035,0.85395,0.1157,0.95075,5.78735,2.39745,5.3593
Colombia,Group K,0.5114,0.3353,0.1205,0.0328,0.8467,0.1205,0.94665,5.9663,2.71925,5.3518
Uzbekistan,Group K,0.0538,0.14325,0.38485,0.4181,0.19705,0.38485,0.41535,2.5809,-2.12555,2.8389
Democratic Republic of Congo,Group K,0.0178,0.0845,0.37895,0.51875,0.1023,0.37895,0.32605,2.1097,-2.99115,2.6712
England,Group L,0.6708,0.2328,0.08515,0.01125,0.9036,0.08515,0.9805,6.70775,3.61955,5.923
Croatia,Group L,0.17175,0.4209,0.33405,0.0733,0.59265,0.33405,0.85155,4.52045,0.4509,4.29625
Panama,Group L,0.15205,0.29295,0.3305,0.2245,0.445,0.3305,0.65595,3.76605,-0.19705,3.67445
Ghana,Group L,0.0054,0.05335,0.2503,0.69095,0.05875,0.2503,0.2056,1.5583,-3.8734,2.31415
