year,model,actual,predicted,count
2010,v4,home_win,home_win,34
2010,v4,home_win,draw,0
2010,v4,home_win,away_win,13
2010,v4,draw,home_win,7
2010,v4,draw,draw,0
2010,v4,draw,away_win,9
2010,v4,away_win,home_win,0
2010,v4,away_win,draw,0
2010,v4,away_win,away_win,1
2010,elo_only,home_win,home_win,35
2010,elo_only,home_win,draw,0
2010,elo_only,home_win,away_win,12
2010,elo_only,draw,home_win,7
2010,elo_only,draw,draw,0
2010,elo_only,draw,away_win,9
2010,elo_only,away_win,home_win,0
2010,elo_only,away_win,draw,0
2010,elo_only,away_win,away_win,1
2010,raw_ensemble,home_win,home_win,34
2010,raw_ensemble,home_win,draw,0
2010,raw_ensemble,home_win,away_win,13
2010,raw_ensemble,draw,home_win,7
2010,raw_ensemble,draw,draw,0
2010,raw_ensemble,draw,away_win,9
2010,raw_ensemble,away_win,home_win,0
2010,raw_ensemble,away_win,draw,0
2010,raw_ensemble,away_win,away_win,1
2010,v4_elo_ensemble_calibrated_v1,home_win,home_win,43
2010,v4_elo_ensemble_calibrated_v1,home_win,draw,0
2010,v4_elo_ensemble_calibrated_v1,home_win,away_win,4
2010,v4_elo_ensemble_calibrated_v1,draw,home_win,13
2010,v4_elo_ensemble_calibrated_v1,draw,draw,0
2010,v4_elo_ensemble_calibrated_v1,draw,away_win,3
2010,v4_elo_ensemble_calibrated_v1,away_win,home_win,1
2010,v4_elo_ensemble_calibrated_v1,away_win,draw,0
2010,v4_elo_ensemble_calibrated_v1,away_win,away_win,0
2014,v4,home_win,home_win,39
2014,v4,home_win,draw,0
2014,v4,home_win,away_win,10
2014,v4,draw,home_win,8
2014,v4,draw,draw,0
2014,v4,draw,away_win,5
2014,v4,away_win,home_win,2
2014,v4,away_win,draw,0
2014,v4,away_win,away_win,0
2014,elo_only,home_win,home_win,37
2014,elo_only,home_win,draw,0
2014,elo_only,home_win,away_win,12
2014,elo_only,draw,home_win,8
2014,elo_only,draw,draw,0
2014,elo_only,draw,away_win,5
2014,elo_only,away_win,home_win,2
2014,elo_only,away_win,draw,0
2014,elo_only,away_win,away_win,0
2014,raw_ensemble,home_win,home_win,38
2014,raw_ensemble,home_win,draw,0
2014,raw_ensemble,home_win,away_win,11
2014,raw_ensemble,draw,home_win,8
2014,raw_ensemble,draw,draw,0
2014,raw_ensemble,draw,away_win,5
2014,raw_ensemble,away_win,home_win,2
2014,raw_ensemble,away_win,draw,0
2014,raw_ensemble,away_win,away_win,0
2014,v4_elo_ensemble_calibrated_v1,home_win,home_win,46
2014,v4_elo_ensemble_calibrated_v1,home_win,draw,3
2014,v4_elo_ensemble_calibrated_v1,home_win,away_win,0
2014,v4_elo_ensemble_calibrated_v1,draw,home_win,10
2014,v4_elo_ensemble_calibrated_v1,draw,draw,1
2014,v4_elo_ensemble_calibrated_v1,draw,away_win,2
2014,v4_elo_ensemble_calibrated_v1,away_win,home_win,2
2014,v4_elo_ensemble_calibrated_v1,away_win,draw,0
2014,v4_elo_ensemble_calibrated_v1,away_win,away_win,0
2018,v4,home_win,home_win,37
2018,v4,home_win,draw,0
2018,v4,home_win,away_win,13
2018,v4,draw,home_win,3
2018,v4,draw,draw,0
2018,v4,draw,away_win,10
2018,v4,away_win,home_win,0
2018,v4,away_win,draw,0
2018,v4,away_win,away_win,1
2018,elo_only,home_win,home_win,34
2018,elo_only,home_win,draw,0
2018,elo_only,home_win,away_win,16
2018,elo_only,draw,home_win,4
2018,elo_only,draw,draw,0
2018,elo_only,draw,away_win,9
2018,elo_only,away_win,home_win,0
2018,elo_only,away_win,draw,0
2018,elo_only,away_win,away_win,1
2018,raw_ensemble,home_win,home_win,35
2018,raw_ensemble,home_win,draw,0
2018,raw_ensemble,home_win,away_win,15
2018,raw_ensemble,draw,home_win,4
2018,raw_ensemble,draw,draw,0
2018,raw_ensemble,draw,away_win,9
2018,raw_ensemble,away_win,home_win,0
2018,raw_ensemble,away_win,draw,0
2018,raw_ensemble,away_win,away_win,1
2018,v4_elo_ensemble_calibrated_v1,home_win,home_win,46
2018,v4_elo_ensemble_calibrated_v1,home_win,draw,1
2018,v4_elo_ensemble_calibrated_v1,home_win,away_win,3
2018,v4_elo_ensemble_calibrated_v1,draw,home_win,11
2018,v4_elo_ensemble_calibrated_v1,draw,draw,0
2018,v4_elo_ensemble_calibrated_v1,draw,away_win,2
