model,top1_accuracy,non_draw_pick_accuracy,log_loss,brier_score,draw_recall,avg_draw_prob,draw_risk_flags,predicted_draws,min_true_class_prob,worst_10_avg_log_loss
v3_floor_010_T1.5,0.6640625,0.8536039415766307,1.4180612752258577,0.5200458796679805,0.0,0.2885289570950498,57.0,0.25,0.1573942459325817,1.3987329026589554
v3_floor_008_T1.5,0.6640625,0.8536039415766307,1.4364296420425637,0.5184789032109136,0.0,0.2894431648125191,58.0,0.25,0.1386548232358225,1.402664636909684
raw_ensemble,0.5625,0.723608193277311,1.446672572942267,0.5753671218799016,0.0,0.2640803823020874,51.5,0.0,0.03176638996480378,1.8161926876038568
v3_floor_010_T1.2,0.6640625,0.8536039415766307,1.520001547986027,0.4994839120012297,0.0,0.27359883556801057,50.5,0.25,0.12404285097710882,1.4971703259075184
v3_floor_008_T1.2,0.6640625,0.8536039415766307,1.544064647240297,0.4983091775187322,0.0,0.27436907990598486,51.5,0.25,0.10520883706752351,1.503088913478441
v3_floor_010,0.6640625,0.8536039415766307,1.629828343608779,0.4850461981852252,0.0,0.25825497091226235,43.5,0.25,0.0952248563213009,1.6040396493821238
v3_floor_008,0.6640625,0.8536039415766307,1.6597933509498513,0.48430235847719216,0.0,0.25885736986045393,43.5,0.25,0.07765889650947788,1.612131569764558
v2_50_50,0.6640625,0.8536039415766307,1.6895788543589791,0.4843011664450988,0.0,0.2592698772825162,43.5,0.25,0.04985402064995348,1.6247077021605967
v2_60_40,0.671875,0.8634078631452581,1.7497215921925473,0.4696508357537388,0.019230769230769232,0.2582947222486838,42.0,0.5,0.050132958868739766,1.606723475346338
v2_70_30,0.68359375,0.8788202781112445,1.8147821252605576,0.45613277300622834,0.016666666666666666,0.2573062139871721,40.75,0.5,0.05319405368606243,1.5924958286337652
v4_elo_ensemble_calibrated_v1,0.6796875,0.8835221588635453,2.115672957666318,0.4223718773843349,0.019230769230769232,0.2545780546708566,38.75,1.5,0.06237733813803041,1.5952831917456465
